Model,metric,value,ci_lo,ci_hi,n
AEScore,pcc,0.6937150087515654,0.6291059965968724,0.7507848346846507,285
AEScore,rmse,1.8327979418679623,1.685470762402797,1.984951505841457,285
ConBAP,pcc,0.4238762597780952,0.33390332813080054,0.5072073609194041,285
ConBAP,rmse,2.2780780470174666,2.1150214409501684,2.4418210967432357,285
DEAttentionDTA,pcc,0.8192657989251567,0.771760934889178,0.8580047163928834,285
DEAttentionDTA,rmse,1.3342617341452494,1.2093782334954297,1.4533100286184677,285
deltaLinF9XGB,pcc,0.8401144168664498,0.8016164577381534,0.8733906858492781,285
deltaLinF9XGB,rmse,1.268415718559069,1.1523765436955726,1.3855803133158482,285
Dynaformer,pcc,0.8243488316430735,0.7775944285494193,0.8627541487271576,285
Dynaformer,rmse,1.233185938805017,1.0996589576257392,1.3702075973882681,285
egGNN,pcc,0.07091535339587698,-0.06675081293280041,0.22047789289559871,285
egGNN,rmse,5.183862634059324,4.220394782096635,6.2976322513721135,285
EGNA,pcc,0.825524060568333,0.7876415951115798,0.8583343785988835,285
EGNA,rmse,1.3675494795243675,1.2549347673446103,1.4825640834530442,285
EHIGN-PLA,pcc,0.8510522417196057,0.8187075380571179,0.8794736248641717,285
EHIGN-PLA,rmse,1.1691001966542234,1.0690376529548915,1.26383530134774,285
ET-Score,pcc,0.39498326149908,0.28920517972226234,0.4953031150715036,285
ET-Score,rmse,2.3870071493221574,2.16134149389028,2.6034383934175276,285
GIGN,pcc,0.8447583963911742,0.803006325082211,0.8793557818924886,285
GIGN,rmse,1.1817941815642194,1.0680545942863535,1.3061355780247406,285
HAC-Net,pcc,0.7772570281934309,0.7296859980590561,0.8201097262979351,285
HAC-Net,rmse,1.4243538381105836,1.313713398473786,1.528255871016494,285
IGModel,pcc,0.45032213579998753,0.3509264994184082,0.5394481697637551,282
IGModel,rmse,6.690196565791144,5.980402097891255,7.409471128329869,282
OnionNet-2,pcc,0.8508427938212333,0.8179240698188733,0.8789577573397901,285
OnionNet-2,rmse,1.216225781252172,1.1103801432326244,1.3188134521046657,285
PIGNet2,pcc,0.5053629279210373,0.4168857225242324,0.5875528627119568,285
PIGNet2,rmse,2.554924225195579,2.3620052305325823,2.7561523956902563,285
saCNN,pcc,0.8619838860761949,0.8272453321749531,0.89224329695765,285
saCNN,rmse,1.1301770585714417,1.0223289293386768,1.2406805664760763,285
SFCNN,pcc,0.7886652409038566,0.7358231134246934,0.8322638313663369,285
SFCNN,rmse,1.3382881862040528,1.2094172150511018,1.4641249531923155,285
